epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,38740.3,0.44851,0.64741,0.37714,0.84038,0.96212,0.91376,0.96257,0.9091,0.96325,0.91366,0.96126,0.85328,0.32708,0.51049,0.25945,0.79355,0.004852,0.004852,0.004852
106,39174.2,0.4497,0.64783,0.37672,0.84065,0.96198,0.91416,0.96262,0.90915,0.96356,0.91357,0.96129,0.85335,0.32695,0.51044,0.25908,0.79346,0.0048025,0.0048025,0.0048025
107,39530.7,0.44839,0.64861,0.3751,0.84013,0.9627,0.9137,0.96266,0.9092,0.96357,0.91378,0.9613,0.85338,0.32669,0.51019,0.25878,0.79332,0.004753,0.004753,0.004753
108,39884.1,0.44886,0.64909,0.37604,0.83993,0.963,0.91353,0.9627,0.90931,0.96414,0.91341,0.96133,0.85339,0.32661,0.50991,0.25848,0.79319,0.0047035,0.0047035,0.0047035
109,40239.6,0.44792,0.64823,0.37558,0.84007,0.96355,0.91312,0.96278,0.90939,0.96406,0.91362,0.96134,0.85343,0.3264,0.50968,0.2581,0.7931,0.004654,0.004654,0.004654
110,40638.2,0.44851,0.646,0.37472,0.83997,0.96293,0.91387,0.96281,0.90944,0.96407,0.91374,0.96139,0.85355,0.32616,0.50939,0.25773,0.79296,0.0046045,0.0046045,0.0046045
111,41313.8,0.44708,0.64505,0.37382,0.83983,0.96331,0.91348,0.96286,0.90958,0.96425,0.91357,0.96151,0.85359,0.3259,0.50933,0.25741,0.79285,0.004555,0.004555,0.004555
112,41985.9,0.44634,0.64385,0.3744,0.83953,0.96354,0.91337,0.96291,0.90967,0.96458,0.91348,0.96151,0.85363,0.32564,0.50912,0.25707,0.79272,0.0045055,0.0045055,0.0045055
113,42661.6,0.44641,0.64513,0.37173,0.83945,0.9635,0.91337,0.96295,0.90972,0.96479,0.9132,0.96156,0.85377,0.32553,0.50886,0.25673,0.79263,0.004456,0.004456,0.004456
114,43277.4,0.44638,0.64489,0.37102,0.83908,0.9633,0.91348,0.96298,0.90986,0.96462,0.91348,0.96168,0.85405,0.32518,0.50837,0.25641,0.79247,0.0044065,0.0044065,0.0044065
115,43632.5,0.44752,0.64449,0.37198,0.83954,0.96341,0.91348,0.96305,0.91,0.96552,0.91288,0.96164,0.85412,0.32482,0.50821,0.25598,0.79237,0.004357,0.004357,0.004357
116,43988.8,0.44502,0.64171,0.37115,0.83896,0.96471,0.91258,0.9631,0.91013,0.96581,0.91276,0.96167,0.85411,0.32464,0.50803,0.25576,0.79224,0.0043075,0.0043075,0.0043075
117,44341.9,0.44476,0.64128,0.37068,0.83872,0.96495,0.91243,0.96316,0.91018,0.96572,0.91277,0.96168,0.85408,0.32432,0.50799,0.25542,0.79213,0.004258,0.004258,0.004258
118,44697.9,0.44581,0.64335,0.3709,0.83896,0.96545,0.91209,0.96318,0.91026,0.96622,0.91238,0.96178,0.85416,0.32422,0.50782,0.25524,0.79202,0.0042085,0.0042085,0.0042085
119,45053.8,0.44546,0.64105,0.37049,0.83889,0.96473,0.91275,0.96323,0.91036,0.96631,0.9123,0.96181,0.85416,0.32423,0.50773,0.25498,0.79193,0.004159,0.004159,0.004159
120,45409.4,0.44392,0.64129,0.36783,0.83865,0.96385,0.91362,0.9633,0.91043,0.96626,0.91229,0.96186,0.85423,0.32417,0.50751,0.25477,0.79189,0.0041095,0.0041095,0.0041095
121,45763.4,0.44367,0.64028,0.36926,0.83909,0.96373,0.91359,0.96337,0.91049,0.96496,0.91367,0.9619,0.85416,0.32402,0.50716,0.25453,0.79185,0.00406,0.00406,0.00406
122,46116.9,0.44419,0.63993,0.36964,0.83826,0.96333,0.91418,0.96341,0.91043,0.96433,0.91424,0.96196,0.85419,0.32407,0.50711,0.25433,0.79179,0.0040105,0.0040105,0.0040105
123,46469.6,0.44247,0.63843,0.36801,0.83771,0.96323,0.91444,0.96343,0.91063,0.96429,0.9145,0.96203,0.85437,0.32401,0.50689,0.25419,0.79173,0.003961,0.003961,0.003961
124,46823.4,0.44211,0.6378,0.36728,0.8377,0.96315,0.91462,0.96346,0.91063,0.96433,0.91456,0.96208,0.85448,0.32393,0.50672,0.25403,0.79167,0.0039115,0.0039115,0.0039115
125,47177.4,0.44271,0.63609,0.36753,0.83825,0.96311,0.91462,0.96352,0.91068,0.96398,0.91476,0.96208,0.85449,0.32377,0.50664,0.25372,0.79158,0.003862,0.003862,0.003862
126,47536.6,0.44223,0.63706,0.36686,0.83793,0.96345,0.91434,0.96351,0.91075,0.96422,0.91465,0.96215,0.85457,0.32368,0.50661,0.25354,0.79151,0.0038125,0.0038125,0.0038125
127,47896.1,0.44219,0.63754,0.36597,0.83767,0.96384,0.91417,0.96355,0.91097,0.96477,0.91422,0.96221,0.85466,0.32342,0.50651,0.25336,0.7914,0.003763,0.003763,0.003763
128,48255.9,0.44155,0.63646,0.36595,0.83762,0.96414,0.91404,0.96359,0.911,0.96511,0.91411,0.96226,0.85468,0.32317,0.50639,0.25317,0.7913,0.0037135,0.0037135,0.0037135
