epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,29096.7,0.58872,1.33151,1.99586,0.9042,0.08899,0.6807,0.10444,0.09516,0.0877,0.67048,0.10192,0.08103,0.45036,1.10388,1.90604,0.8537,0.007393,0.007393,0.007393
81,29459.2,0.58952,1.33259,1.99604,0.90368,0.089,0.68142,0.10454,0.09526,0.08828,0.66091,0.10204,0.08113,0.45032,1.10317,1.90582,0.85358,0.00736,0.00736,0.00736
82,29821.6,0.58884,1.33182,1.99497,0.9039,0.08898,0.68268,0.10485,0.09555,0.08827,0.66229,0.10233,0.08139,0.45009,1.10227,1.90554,0.85342,0.007327,0.007327,0.007327
83,30184,0.58858,1.33198,1.99514,0.90338,0.08909,0.68157,0.10476,0.09546,0.08838,0.66128,0.10225,0.0813,0.44999,1.10166,1.90522,0.85332,0.007294,0.007294,0.007294
84,30546.1,0.58812,1.32624,1.99458,0.903,0.08907,0.68196,0.10491,0.0956,0.08841,0.66188,0.10241,0.08144,0.4499,1.10095,1.90505,0.85318,0.007261,0.007261,0.007261
85,30908.7,0.58815,1.33063,1.99411,0.90342,0.08914,0.68152,0.105,0.09569,0.08844,0.6612,0.10248,0.08152,0.44951,1.10025,1.90472,0.85303,0.007228,0.007228,0.007228
86,31271.5,0.58853,1.33149,1.99517,0.90301,0.0893,0.68047,0.10505,0.09578,0.08854,0.6596,0.10255,0.08159,0.44909,1.09968,1.90443,0.85283,0.007195,0.007195,0.007195
87,31634.2,0.58723,1.32786,1.9944,0.9028,0.08926,0.68051,0.10518,0.0959,0.08852,0.65987,0.10267,0.08171,0.44884,1.09885,1.90417,0.85269,0.007162,0.007162,0.007162
88,31995.7,0.5859,1.32363,1.994,0.90224,0.08932,0.68033,0.10523,0.09597,0.08858,0.65968,0.10275,0.08178,0.44837,1.09804,1.90391,0.85247,0.007129,0.007129,0.007129
89,32356.8,0.58476,1.32227,1.99358,0.90233,0.08931,0.68091,0.10535,0.09609,0.08858,0.66035,0.10288,0.08188,0.44808,1.09727,1.90367,0.85232,0.007096,0.007096,0.007096
